model,eng_cap,prod_year,power,fuel_type,car_body,mileage,color,condition,transmission,origin,price
Golf,1 498 cm3,2019,150 KM,Benzyna,Kompakt,52 550 km,Biały,Używane,Manualna,Polska,80 900PLN
Golf,1 390 cm3,2009,122 KM,Benzyna,Kompakt,250 000 km,Biały,Używane,Manualna,Unknown,19 000PLN
Golf,1 595 cm3,2008,102 KM,Benzyna,Kombi,210 000 km,Srebrny,Używane,Manualna,Unknown,15 900PLN
Golf,1 968 cm3,2008,140 KM,Diesel,Kompakt,236 000 km,Czarny,Używane,Manualna,Unknown,15 500PLN
Golf,1 984 cm3,2014,230 KM,Benzyna,Kompakt,99 672 km,Biały,Używane,Manualna,Włochy,66 500PLN
Golf,1 600 cm³,2007,Unknown,Benzyna,Hatchback,172 000 km,Srebrny,Nieuszkodzony,Manualna,Unknown,18 000 złdo negocjacji
Golf,2 000 cm³,2014,184 KM,Diesel,Hatchback,198 250 km,Biały,Nieuszkodzony,Manualna,Polska,59 900 zł
Golf,1 600 cm³,2005,105 KM,LPG,Hatchback,306 000 km,Niebieski,Nieuszkodzony,Manualna,Niemcy,5 000 złdo negocjacji
Golf,1 595 cm3,1999,100 KM,Benzyna+LPG,Kombi,279 592 km,Srebrny,Używane,Automatyczna,Niemcy,8 200PLN
Golf,1 968 cm3,2015,184 KM,Diesel,Kombi,199 999 km,Czarny,Używane,Automatyczna,Niemcy,49 999PLN
Golf,1 984 cm3,2007,230 KM,Benzyna,Kompakt,237 000 km,Czarny,Używane,Automatyczna,Unknown,29 999PLN
Golf,999 cm3,2020,115 KM,Benzyna,Kombi,122 000 km,Szary,Używane,Manualna,Polska,45 900PLN
Golf,1 197 cm³,2010,105 KM,Benzyna,Hatchback,181 700 km,Czerwony,Nieuszkodzony,Manualna,Polska,21 500 złdo negocjacji
Golf,1 898 cm³,2006,Unknown,Diesel,Hatchback,224 623 km,Srebrny,Nieuszkodzony,Automatyczna,Unknown,13 300 złdo negocjacji
Golf,1 896 cm3,2005,105 KM,Diesel,Kompakt,237 000 km,Czarny,Używane,Manualna,Unknown,10 900PLN
Golf,999 cm3,2021,110 KM,Benzyna,Kompakt,23 000 km,Biały,Używane,Manualna,Polska,74 500PLN
Golf,1 598 cm3,2013,105 KM,Diesel,Kombi,281 000 km,Srebrny,Używane,Manualna,Polska,20 000PLN
Golf,1 390 cm3,2008,140 KM,Benzyna,Kompakt,215 115 km,Granatowy,Używane,Manualna,Niemcy,14 800PLN
model,eng_cap,prod_year,power,fuel_type,car_body,mileage,color,condition,transmission,origin,price
Golf,1 598 cm³,2010,105 KM,Diesel,Kombi,230 000 km,Srebrny,Nieuszkodzony,Automatyczna,Polska,24 444 złdo negocjacji
Golf,14 cm³,2002,55 KM,Benzyna,Hatchback,280 000 km,Srebrny,Nieuszkodzony,Manualna,Niemcy,5 500 złdo negocjacji
Golf,1 400 cm³,2009,80 KM,Benzyna,Hatchback,199 950 km,Niebieski,Nieuszkodzony,Manualna,Niemcy,21 499 złdo negocjacji
Golf,2 000 cm³,2016,150 KM,Diesel,Kombi,249 100 km,Czarny,Nieuszkodzony,Manualna,Polska,54 300 zł
Golf,1 896 cm3,2006,105 KM,Diesel,Kompakt,246 000 km,Srebrny,Używane,Manualna,Niemcy,11 000PLN
Golf,1 598 cm3,2012,105 KM,Diesel,Kombi,278 000 km,Złoty,Używane,Manualna,Szwecja,23 400PLN
Golf,1 999 cm³,2008,140 KM,Diesel,Kombi,230 000 km,Szary,Nieuszkodzony,Manualna,Polska,12 500 zł
Golf,1 968 cm3,2010,140 KM,Diesel,Auta miejskie,178 000 km,Czarny,Używane,Manualna,Niemcy,29 700PLN
Golf,1 390 cm3,2009,160 KM,Benzyna,Minivan,117 025 km,Srebrny,Używane,Manualna,Niemcy,23 800PLN
Golf,1 598 cm3,2015,90 KM,Diesel,Kombi,185 000 km,Czarny,Używane,Manualna,Holandia,37 900PLN
Golf,1 197 cm3,2014,105 KM,Benzyna,Kompakt,175 000 km,Biały,Używane,Manualna,Unknown,35 500PLN
Golf,1 498 cm3,2023,150 KM,Benzyna,Kombi,12 200 km,Biały,Używane,Automatyczna,Polska,129 150PLN
Golf,1 498 cm3,2019,130 KM,Benzyna,Kombi,64 000 km,Czarny,Używane,Manualna,Polska,72 400PLN
Golf,1 598 cm³,2007,102 KM,Benzyna,Hatchback,194 500 km,Czarny,Nieuszkodzony,Manualna,Niemcy,21 500 złdo negocjacji
Golf,1 998 cm³,2003,101 KM,Diesel,Hatchback,220 000 km,Czarny,Nieuszkodzony,Manualna,Polska,8 700 zł
Golf,1 900 cm³,2000,130 KM,Diesel,Kombi,247 000 km,Czarny,Nieuszkodzony,Manualna,Unknown,8 750 zł
Golf,1 896 cm3,2005,100 KM,Diesel,Kombi,249 568 km,Granatowy,Używane,Manualna,Unknown,11 900PLN
Golf,1 600 cm³,2002,102 KM,Benzyna,Hatchback,84 711 km,Szary,Nieuszkodzony,Automatyczna,Niemcy,9 900 zł
Golf,1 390 cm3,2001,75 KM,Benzyna,Auta małe,225 355 km,Srebrny,Używane,Manualna,Niemcy,4 800PLN
Golf,1 390 cm3,2009,80 KM,Benzyna,Kompakt,149 000 km,Srebrny,Używane,Manualna,Niemcy,20 900PLN
Golf,1 968 cm3,2019,150 KM,Diesel,Kompakt,120 685 km,Biały,Używane,Automatyczna,Unknown,79 900PLN
Golf,1 395 cm3,2015,150 KM,Benzyna,Kompakt,115 000 km,Srebrny,Używane,Automatyczna,Polska,60 000PLN
Golf,1 896 cm3,2009,105 KM,Diesel,Kombi,226 000 km,Srebrny,Używane,Manualna,Niemcy,15 900PLN
Golf,1 390 cm3,2009,122 KM,Benzyna,Kompakt,203 150 km,Czarny,Używane,Manualna,Unknown,19 900PLN
Golf,1 800 cm³,1990,98 KM,Benzyna,Kabriolet,214 000 km,Inny kolor,Nieuszkodzony,Manualna,Holandia,49 900 zł
Golf,1 600 cm³,2018,115 KM,Diesel,Kombi,285 000 km,Szary,Nieuszkodzony,Manualna,Polska,42 900 złdo negocjacji
Golf,1 197 cm³,2014,86 KM,Benzyna,Minivan,39 157 km,Szary,Nieuszkodzony,Manualna,Niemcy,45 500 złdo negocjacji
Golf,1 968 cm3,2017,110 KM,Diesel,Kombi,79 800 km,Srebrny,Używane,Automatyczna,Polska,69 000PLN
Golf,1 598 cm³,2011,105 KM,Diesel,Hatchback,270 000 km,Srebrny,Nieuszkodzony,Manualna,Niemcy,22 500 złdo negocjacji
Golf,1 984 cm3,2016,300 KM,Benzyna,Kombi,145 000 km,Brązowy,Używane,Automatyczna,Polska,89 000PLN
Golf,1 968 cm3,2019,150 KM,Diesel,Kombi,88 000 km,Czarny,Używane,Automatyczna,Niemcy,79 500PLN
Golf,1 390 cm3,2005,75 KM,Benzyna,Auta miejskie,185 485 km,Niebieski,Używane,Manualna,Niemcy,11 400PLN
Golf,1 197 cm3,2010,105 KM,Benzyna,Kombi,184 730 km,Niebieski,Używane,Manualna,Niemcy,19 900PLN
Golf,1 498 cm3,2019,130 KM,Benzyna,Kompakt,95 980 km,Szary,Używane,Manualna,Unknown,67 500PLN
Golf,1 390 cm3,2007,122 KM,Benzyna,Kompakt,394 000 km,Czarny,Używane,Manualna,Niemcy,10 000PLN
Golf,1 390 cm3,2010,160 KM,Benzyna,Coupe,243 000 km,Srebrny,Używane,Manualna,Niemcy,26 000PLN
Golf,1 598 cm3,2015,105 KM,Diesel,Kompakt,144 000 km,Szary,Używane,Manualna,Unknown,43 000PLN
Golf,1 600 cm³,2001,105 KM,Benzyna,Hatchback,193 500 km,Żółty – Złoty,Uszkodzony,Manualna,Niemcy,4 500 zł
